Model,Dataset,Dataset_Full,N_Samples,Embedding_Dim,Mean_Pairwise_Dist,Std_Pairwise_Dist,Centroid_Dist,Variance
securebert2,cc4b71c6-37e...,cc4b71c6-37e0-4f6b-8405-212edbaf0fcb,200,768,0.10672209027715335,0.050746233565232654,0.317261666059494,0.0013018233003094792
securebert2,e5c2add0-eb3...,e5c2add0-eb3d-456a-b339-84f71d82763b,200,768,0.10886708146688245,0.05233056297238938,0.31987932324409485,0.0013018239988014102
securebert2,675abc2d-1e9...,675abc2d-1e9b-4968-8f88-ad632d29d11f,200,768,0.09718415888089058,0.05190277759999711,0.30104008316993713,0.001301777781918645
securebert2,8ec0137f-b30...,8ec0137f-b308-424b-b6c2-8dfe38566307,200,768,0.1230490651239347,0.059205628116090335,0.3434709310531616,0.0013018393656238914
securebert2,4f3d5490-368...,4f3d5490-3681-4633-bd14-35f17127dd14,200,768,0.10664432944611964,0.05342770974772121,0.3151111304759979,0.001301828888244927
sentence-bert,cc4b71c6-37e...,cc4b71c6-37e0-4f6b-8405-212edbaf0fcb,200,384,0.6258522412365203,0.18619356895699765,0.7838976383209229,0.002604109700769186
sentence-bert,e5c2add0-eb3...,e5c2add0-eb3d-456a-b339-84f71d82763b,200,384,0.5866311214373691,0.17723587622043757,0.756976306438446,0.002604142064228654
sentence-bert,675abc2d-1e9...,675abc2d-1e9b-4968-8f88-ad632d29d11f,200,384,0.6105858923309118,0.1831035598317135,0.7733553051948547,0.0026041658129543066
sentence-bert,8ec0137f-b30...,8ec0137f-b308-424b-b6c2-8dfe38566307,200,384,0.5393894698541843,0.15971156799264805,0.7271831631660461,0.0026041539385914803
sentence-bert,4f3d5490-368...,4f3d5490-3681-4633-bd14-35f17127dd14,200,384,0.5939846778426567,0.17944107526518438,0.7615739703178406,0.002604137174785137
bert-base,cc4b71c6-37e...,cc4b71c6-37e0-4f6b-8405-212edbaf0fcb,200,768,0.16520137220820735,0.09786758984322629,0.39096599817276,0.001300541334785521
bert-base,e5c2add0-eb3...,e5c2add0-eb3d-456a-b339-84f71d82763b,200,768,0.1838070936592073,0.11547236682834726,0.40959349274635315,0.001300564268603921
bert-base,675abc2d-1e9...,675abc2d-1e9b-4968-8f88-ad632d29d11f,200,768,0.17580601083675484,0.11867010957342825,0.39746376872062683,0.0013005193322896957
bert-base,8ec0137f-b30...,8ec0137f-b308-424b-b6c2-8dfe38566307,200,768,0.18738920297517767,0.1171128822258349,0.4138013422489166,0.001300613977946341
bert-base,4f3d5490-368...,4f3d5490-3681-4633-bd14-35f17127dd14,200,768,0.17641522988990144,0.1153827528149326,0.3988906741142273,0.001300550764426589
